==1519835== NVPROF is profiling process 1519835, command: ./RN 1
==1519835== Profiling application: ./RN 1
==1519835== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
2.68099s  45.376us                    -               -         -         -         -  256.00KB  5.3804GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.68104s  1.6414ms            (128 1 1)       (28 28 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [295]
2.68275s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.68280s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.68280s  19.552us            (128 1 1)       (28 28 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [298]
2.68295s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.68300s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.68300s  12.064us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [301]
2.68301s  7.9360us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [302]
2.71660s  97.217us                    -               -         -         -         -  576.00KB  5.6504GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.71671s  3.8964ms            (128 1 1)       (28 28 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [304]
2.72068s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.72072s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.72073s  19.520us            (128 1 1)       (28 28 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [307]
2.72086s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.72091s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.72091s  11.744us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [310]
2.72093s  8.1280us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [311]
2.73599s  86.848us                    -               -         -         -         -  512.00KB  5.6223GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
